Город,Код
Москва,msk
Санкт-Петербург,spb
Белгород,belgorod
Великий Новгород,novgorod
Владимир,vladimir
Вологда,vologda
Воронеж,voronezh
Екатеринбург,ekaterinburg
Иваново,ivanovo
Йошкар-Ола,yoshkar-ola
Казань,kazan
Калуга,kaluga
Кемерово,kemerovo
Кострома,kostroma
Краснодар,krasnodar
Курск,kursk
Липецк,lipetsk
Майкоп,maykop
Набережные челны,nab-chelny
Нижний Новгород,nizh-novgorod
Новосибирск,novosibirsk
Орел,orel
Рязань,ryazan
Ставрополь,stavropol
Тамбов,tambov
Тверь,tver
Тула,tula
Ульяновск,ulyanovsk
Чебоксары,cheboksary
Челябинск,chelyabinsk
Черкесск,cherkessk
Ярославль,yaroslavl
